"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.617861958E0,-8.622070312E-2,2.927911377E-1,9.743238831E0
1.627834958E0,-1.001417542E-1,3.138972473E-1,9.751022644E0
1.637807958E0,-7.364685059E-2,2.842588806E-1,9.767488403E0
1.647780958E0,-6.242019653E-2,2.371069336E-1,9.730964355E0
1.657753958E0,-5.194198608E-2,1.763333130E-1,9.718390503E0
1.667726958E0,-4.969665527E-2,1.315763855E-1,9.719887390E0
1.677699958E0,-2.365081787E-2,1.098715210E-1,9.718540192E0
1.687672958E0,-1.631607056E-2,1.260379028E-1,9.723180542E0
1.697645958E0,-5.763015747E-2,1.508862305E-1,9.729467468E0
1.707618958E0,-8.023315430E-2,1.657054138E-1,9.701924744E0
1.717591958E0,-1.122665405E-1,1.531315613E-1,9.719138947E0
1.727564958E0,-1.410067749E-1,1.670526123E-1,9.741592255E0
1.737537958E0,-1.498384094E-1,1.916015625E-1,9.721084900E0
1.747510958E0,-1.857637024E-1,2.347119141E-1,9.756261749E0
1.757483958E0,-1.800755310E-1,2.507286072E-1,9.790241089E0
1.767456958E0,-1.851649475E-1,2.597099304E-1,9.758507080E0
1.777430958E0,-1.215472412E-1,2.577639771E-1,9.730066223E0
1.787403958E0,-7.439529419E-2,2.348616028E-1,9.718390503E0
1.797376958E0,-2.439926147E-2,2.357597351E-1,9.720785522E0
1.807349958E0,-8.831634521E-3,1.971400452E-1,9.693691864E0
1.817322958E0,-5.523513794E-2,2.014810181E-1,9.686806183E0
1.827295958E0,-7.843688965E-2,1.692979431E-1,9.746531982E0
1.837268958E0,-1.098715210E-1,1.396595764E-1,9.709109802E0
1.847241958E0,-1.029858398E-1,1.408570862E-1,9.705068207E0
1.857214958E0,-1.350192261E-1,1.366658020E-1,9.772128754E0
1.867187958E0,-1.053808594E-1,1.655557251E-1,9.728120270E0
1.877160958E0,-9.654922485E-2,2.046244812E-1,9.704619141E0
1.887133958E0,-9.310638428E-2,1.788780212E-1,9.722132721E0
1.897106958E0,-6.062393188E-2,1.835183716E-1,9.705068207E0
1.907079958E0,-7.933502197E-2,1.820214844E-1,9.728569336E0
1.917052958E0,-1.040336609E-1,1.749861145E-1,9.744286652E0
1.927025958E0,-1.514849854E-1,2.240840149E-1,9.745633850E0
1.936998958E0,-1.956431580E-1,2.450404358E-1,9.775571594E0
1.946971958E0,-2.386038208E-1,2.430944824E-1,9.751920776E0
1.956944958E0,-2.523751831E-1,2.255809021E-1,9.687704315E0
1.966917958E0,-2.222877502E-1,1.615141296E-1,9.703870697E0
1.976890958E0,-1.486408997E-1,1.487905884E-1,9.679022369E0
1.986864958E0,-1.143621826E-1,1.453477478E-1,9.703271942E0
1.996837958E0,-1.049317932E-1,1.639091492E-1,9.779164124E0
2.006810958E0,-1.233435059E-1,2.273771667E-1,9.762698364E0
2.016783958E0,-1.187031555E-1,2.799179077E-1,9.762548676E0
2.026756958E0,-1.351689148E-1,2.755769348E-1,9.768835602E0
2.036729958E0,-1.326242065E-1,2.585124207E-1,9.714049530E0
2.046702958E0,-1.089733887E-1,2.383044434E-1,9.702074432E0
2.056675958E0,-1.315763855E-1,2.359094238E-1,9.695338440E0
2.066648958E0,-1.496887207E-1,2.574645996E-1,9.724078674E0
2.076621958E0,-1.799258423E-1,2.592608643E-1,9.786648560E0
2.086594958E0,-1.613644409E-1,2.209405518E-1,9.749675446E0
2.096567958E0,-1.550775146E-1,1.945953369E-1,9.689650269E0
2.106540958E0,-1.516346741E-1,1.595681763E-1,9.728719025E0
2.116513958E0,-1.365161133E-1,1.631607056E-1,9.768536224E0
2.126486958E0,-1.071771240E-1,2.040257263E-1,9.707313538E0
2.136459958E0,-1.019380188E-1,2.432441711E-1,9.674681396E0
2.146432958E0,-8.756790161E-2,2.671943665E-1,9.697284393E0
2.156405958E0,-5.014572144E-2,2.736309814E-1,9.767189026E0
2.166378958E0,-6.691085815E-2,2.615061951E-1,9.768386536E0
2.176351958E0,-5.313949585E-2,2.709365845E-1,9.696086884E0
2.186324958E0,-5.134323120E-2,2.820135498E-1,9.702074432E0
2.196298958E0,-4.326004028E-2,2.742297363E-1,9.761351166E0
2.206271958E0,-4.909790039E-2,2.721340942E-1,9.755213928E0
2.216244958E0,-3.293151855E-2,2.860551453E-1,9.725126495E0
2.226217958E0,-2.739303589E-2,2.854563904E-1,9.726324005E0
2.236190958E0,-2.829116821E-2,2.567161560E-1,9.742939453E0
2.246163958E0,-2.544708252E-3,2.257305908E-1,9.718989258E0
2.256136958E0,2.574645996E-2,2.189945984E-1,9.696535950E0
2.266109958E0,4.775070190E-2,2.076182556E-1,9.690997467E0
2.276082958E0,5.957611084E-2,2.338137817E-1,9.739945679E0
2.286055958E0,3.951782227E-2,2.290237427E-1,9.764045563E0
2.296028958E0,6.137237549E-3,2.505789185E-1,9.715396729E0
2.306001958E0,-4.879852295E-2,2.686912537E-1,9.724527740E0
2.315974958E0,-7.544311523E-2,2.748284912E-1,9.751022644E0
2.325947958E0,-4.535568237E-2,2.874023438E-1,9.720037079E0
2.335920958E0,-3.308120728E-2,2.650987244E-1,9.714797974E0
2.345893958E0,-1.691482544E-2,2.484832764E-1,9.707463226E0
2.355866958E0,3.278182983E-2,2.609074402E-1,9.726773071E0
2.365839958E0,5.598358154E-2,2.408491516E-1,9.756710815E0
2.375812958E0,7.918533325E-2,2.564167786E-1,9.736353149E0
2.385785958E0,9.385482788E-2,2.706372070E-1,9.716594238E0
2.395758958E0,5.807922363E-2,2.571652222E-1,9.737101593E0
2.405731958E0,3.577560425E-2,2.472857666E-1,9.705517273E0
2.415705958E0,-5.688171387E-3,2.568658447E-1,9.691446533E0
2.425678958E0,-2.065704346E-2,2.537223816E-1,9.724976807E0
