"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.393468083E0,-8.747327141E-3,1.177260373E-2,-1.246568918E0
1.403441083E0,-1.500682067E-2,1.664043404E-3,-1.263972640E0
1.413414083E0,-1.946593076E-2,2.435182221E-3,-1.278244138E0
1.423387083E0,-2.867460996E-2,5.122045055E-3,-1.296008706E0
1.433360083E0,-2.613580972E-2,1.088420860E-2,-1.308499098E0
1.443333083E0,-2.293682098E-2,2.161557786E-3,-1.319730163E0
1.453307083E0,-1.690236479E-2,3.486214206E-3,-1.330011368E0
1.463280083E0,-1.470605470E-2,6.054034457E-3,-1.338014126E0
1.473253083E0,-9.457698092E-3,1.469037030E-2,-1.347360253E0
1.483226083E0,-1.079300605E-2,1.570530236E-2,-1.354657888E0
1.493198958E0,-1.900672540E-2,1.511495281E-2,-1.364103556E0
1.503171958E0,-2.403104305E-2,1.311438624E-2,-1.376626015E0
1.513144958E0,-3.246471286E-2,1.205504406E-2,-1.386870623E0
1.523117958E0,-3.187508881E-2,7.962032221E-3,-1.396093488E0
1.533090958E0,-3.122280911E-2,3.976466134E-3,-1.404245377E0
1.543063958E0,-1.646969467E-2,1.082318742E-2,-1.412074447E0
1.553036958E0,-7.553062867E-3,1.117810514E-2,-1.415820241E0
1.563009958E0,1.870798878E-3,8.344766684E-3,-1.422473907E0
1.572982958E0,-2.912348136E-4,1.632465795E-2,-1.426731944E0
1.582955958E0,-3.963201307E-3,1.350570377E-2,-1.432454586E0
1.592928958E0,-1.451012865E-2,6.445705891E-3,-1.435931563E0
1.602901958E0,-2.357712761E-2,8.513118140E-3,-1.440782309E0
1.612874958E0,-3.061116301E-2,1.220076252E-2,-1.442291856E0
1.622847958E0,-3.137868643E-2,1.210142579E-2,-1.444929719E0
1.632820958E0,-3.233848512E-2,4.214017652E-3,-1.446915269E0
1.642793958E0,-3.205299750E-2,1.257847436E-2,-1.448087931E0
1.652766958E0,-3.013057262E-2,9.222215042E-3,-1.448178291E0
1.662739958E0,-2.848367393E-2,8.993715048E-3,-1.448692799E0
1.672713958E0,-2.582937665E-2,1.369879302E-2,-1.449512839E0
1.682686958E0,-2.062875777E-2,1.496113185E-2,-1.446321845E0
1.692659958E0,-1.499013789E-2,1.430230495E-2,-1.451065421E0
1.702632958E0,-1.235254295E-2,1.433319692E-2,-1.454703808E0
1.712605958E0,-1.167352777E-2,1.578066498E-2,-1.455621243E0
1.722578958E0,-1.475187577E-2,1.091773435E-2,-1.460424542E0
1.732551958E0,-1.618720964E-2,1.217481215E-2,-1.463244438E0
1.742524958E0,-1.905836351E-2,8.182200603E-3,-1.469576120E0
1.752497958E0,-1.555977948E-2,7.080494426E-3,-1.477723479E0
1.762470958E0,-1.609960198E-2,5.529202521E-3,-1.483265519E0
1.772443958E0,-2.076438069E-2,3.368696198E-4,-1.490287304E0
1.782416958E0,-2.516525425E-2,5.899946205E-3,-1.494933248E0
1.792389958E0,-2.827522159E-2,7.620203309E-3,-1.498973727E0
1.802362958E0,-3.230351955E-2,1.687974855E-2,-1.501467228E0
1.812335958E0,-2.995540574E-2,1.355380099E-2,-1.507289886E0
1.822308958E0,-2.990267426E-2,7.826405577E-3,-1.513675570E0
1.832281958E0,-2.539695986E-2,1.767355949E-2,-1.515562057E0
1.842254958E0,-2.150155418E-2,1.112111565E-2,-1.523197889E0
1.852227958E0,-1.876763813E-2,8.671196178E-3,-1.528914094E0
1.862200958E0,-2.081081457E-2,1.536585018E-2,-1.530776739E0
1.872173958E0,-1.736611128E-2,1.920928806E-2,-1.538368940E0
1.882147958E0,-1.738155633E-2,6.775256246E-3,-1.543476701E0
1.892120958E0,-2.136573754E-2,1.366755646E-2,-1.547156930E0
1.902093958E0,-2.503051236E-2,1.961572841E-2,-1.551154017E0
1.912066958E0,-2.114300244E-2,1.297277305E-2,-1.559911489E0
1.922039958E0,-1.981914416E-2,1.682849601E-2,-1.566691399E0
1.932012958E0,-1.846840605E-2,1.598690636E-2,-1.577798963E0
1.941985958E0,-1.554931421E-2,1.315197162E-2,-1.589836717E0
1.951958958E0,-2.310940251E-2,1.205585152E-2,-1.601029873E0
1.961931958E0,-2.685034275E-2,5.345217884E-3,-1.615171313E0
1.971904958E0,-3.317409754E-2,8.956192993E-3,-1.620427251E0
1.981877958E0,-3.203932568E-2,1.247795764E-2,-1.631246448E0
1.991850958E0,-2.603434585E-2,7.437470369E-3,-1.639502883E0
2.001823958E0,-1.281707734E-2,1.474278886E-2,-1.644741654E0
2.011796958E0,-7.230378687E-3,1.489005703E-2,-1.655523300E0
2.021769958E0,-5.967773963E-3,1.010062825E-2,-1.660238147E0
2.031742958E0,-1.787752099E-2,1.490767486E-2,-1.671316147E0
2.041715958E0,-2.806331404E-2,1.409248076E-2,-1.679630518E0
2.051688958E0,-3.847964853E-2,1.443058718E-2,-1.687259316E0
2.061661958E0,-3.970417008E-2,1.725513488E-2,-1.695798755E0
2.071634958E0,-3.733317554E-2,1.030551177E-2,-1.703561902E0
2.081607958E0,-3.044091538E-2,1.595221087E-2,-1.712645054E0
2.091580958E0,-2.585786954E-2,1.655244455E-2,-1.724629164E0
2.101554958E0,-1.986043155E-2,7.676129229E-3,-1.730899572E0
2.111527958E0,-1.771056466E-2,1.087679807E-2,-1.742526531E0
2.121500958E0,-1.925759390E-2,1.374049578E-2,-1.747629881E0
2.131473958E0,-2.251517959E-2,8.121874183E-3,-1.751433372E0
2.141446958E0,-2.122567780E-2,7.825464010E-3,-1.760449529E0
2.151419958E0,-2.286643535E-2,1.676146686E-2,-1.765550852E0
2.161392958E0,-2.281130850E-2,1.327245962E-2,-1.771245837E0
2.171365958E0,-2.384691685E-2,1.298780460E-2,-1.777334213E0
2.181338958E0,-2.908881754E-2,1.461100113E-2,-1.779404879E0
2.191311958E0,-2.633706667E-2,1.346314233E-2,-1.781636596E0
2.201284958E0,-2.542759851E-2,1.804164797E-2,-1.786782980E0
2.211257958E0,-2.707371674E-2,1.173118036E-2,-1.787404537E0
2.221230958E0,-2.791287936E-2,1.283639204E-2,-1.793143392E0
2.231203958E0,-3.061391786E-2,1.875084639E-2,-1.792911172E0
2.241176958E0,-2.979366481E-2,9.288900532E-3,-1.795203328E0
2.251149958E0,-3.418895230E-2,1.395407785E-2,-1.794435501E0
2.261122958E0,-3.000619262E-2,1.739647985E-2,-1.796346068E0
2.271095958E0,-2.617125213E-2,1.485187002E-2,-1.794920206E0
2.281068958E0,-1.918950863E-2,1.880986057E-2,-1.791339040E0
